종목명,시가총액,조단위,누적비율
삼성전자,3699774,369.9774,0.12965178274907094
SK하이닉스,2184007,218.4007,0.20618629569133448
삼성바이오로직스,741633,74.1633,0.2321754616770249
LG에너지솔루션,737100,73.71,0.25800577700556665
KB금융,452033,45.2033,0.2738464430331161
현대차,444324,44.4324,0.2894169613183406
삼성전자우,425123,42.5123,0.3043146158338957
기아,409603,40.9603,0.3186684004621913
NAVER,394508,39.4508,0.3324932085474339
셀트리온,393694,39.3694,0.3462894914981257
두산에너빌리티,385618,38.5618,0.3598027658657306
한화에어로스페이스,381680,38.168,0.37317804025807605
신한지주,348585,34.8585,0.3853935611762686
HD현대중공업,343552,34.3552,0.3974327098558931
삼성물산,312247,31.2247,0.4083748323228462
현대모비스,288696,28.8696,0.4184916532617808
삼성생명,281400,28.14,0.42835279928464287
하나금융지주,272196,27.2196,0.4378914080367359
HMM,261385,26.1385,0.4470511651553777
POSCO홀딩스,260199,26.0199,0.4561693610828926
카카오,257694,25.7694,0.4651997738874961
삼성화재,238338,23.8338,0.47355189123219016
한국전력,237206,23.7206,0.48186433971655057
SK스퀘어,236320,23.632,0.49014573995863575
한화오션,234713,23.4713,0.4983708258380388
