N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"62,500",하락 100,-0.16%,100,"3,699,774","5,919,638",49.78,"13,519,055",12.11,9.03
2,SK하이닉스,"300,000","상승 5,500",+1.87%,"5,000","2,184,007","728,002",55.46,"2,936,976",8.41,31.06
3,삼성바이오로직스,"1,042,000","하락 15,000",-1.42%,"2,500","741,633","71,174",13.07,"55,795",57.96,10.45
4,LG에너지솔루션,"315,000","하락 6,500",-2.02%,500,"737,100","234,000",4.19,"191,507",-63.33,-4.93
5,KB금융,"118,500","상승 1,200",+1.02%,"5,000","452,033","381,462",77.88,"857,015",8.22,8.86
6,현대차,"217,000","상승 9,000",+4.33%,"5,000","444,324","204,758",36.14,"1,124,505",4.73,12.43
7,삼성전자우,"52,100",하락 100,-0.19%,100,"425,123","815,975",73.98,"871,650",10.09,N/A
8,기아,"103,000","상승 2,200",+2.18%,"5,000","409,603","397,673",39.32,"1,132,119",4.39,19.09
9,NAVER,"249,000","하락 4,000",-1.58%,100,"394,508","158,437",45.02,"1,205,192",21.74,7.90
10,셀트리온,"177,000","하락 1,600",-0.90%,"1,000","393,694","222,426",21.50,"353,485",81.91,2.46
11,두산에너빌리티,"60,200",하락 300,-0.50%,"5,000","385,618","640,561",23.79,"7,522,323",-378.62,1.52
12,한화에어로스페이스,"807,000","상승 1,000",+0.12%,"5,000","381,680","47,296",44.46,"183,007",16.32,53.94
13,신한지주,"71,800","상승 2,500",+3.61%,"5,000","348,585","485,495",60.05,"1,533,140",7.88,8.11
14,HD현대중공업,"387,000","하락 1,000",-0.26%,"5,000","343,552","88,773",10.99,"119,751",39.17,11.39
15,삼성물산,"183,700","상승 11,400",+6.62%,100,"312,247","169,977",27.13,"1,005,710",14.67,6.83
16,현대모비스,"314,500","상승 8,000",+2.61%,"5,000","288,696","91,795",43.26,"192,275",6.93,9.35
17,삼성생명,"140,700","상승 9,100",+6.91%,500,"281,400","200,000",21.74,"885,106",13.27,6.18
18,하나금융지주,"95,600","상승 2,400",+2.58%,"5,000","272,196","284,724",67.76,"1,045,276",7.21,9.11
19,HMM,"25,500",상승 50,+0.20%,"5,000","261,385","1,025,039",7.02,"2,088,112",5.03,15.35
20,POSCO홀딩스,"321,500",상승 500,+0.16%,"5,000","260,199","80,933",30.16,"323,036",31.26,2.00
21,카카오,"58,300","하락 1,700",-2.83%,100,"257,694","442,014",27.68,"3,469,359",168.50,0.56
22,삼성화재,"518,000","상승 45,000",+9.51%,500,"238,338","46,011",55.95,"163,547",13.22,13.11
23,한국전력,"36,950",하락 50,-0.14%,"5,000","237,206","641,964",19.30,"2,866,770",4.51,9.22
24,SK스퀘어,"178,300","상승 4,300",+2.47%,100,"236,320","132,541",53.15,"336,773",4.81,21.70
25,한화오션,"76,600",하락 900,-1.16%,"5,000","234,713","306,413",12.09,"972,322",33.88,11.52
26,HD한국조선해양,"325,000","상승 4,000",+1.25%,"5,000","230,013","70,773",32.79,"158,487",15.55,11.16
27,메리츠금융지주,"123,100","상승 4,800",+4.06%,500,"221,598","180,014",15.87,"375,215",10.08,23.44
28,현대로템,"191,000","상승 6,200",+3.35%,"5,000","208,462","109,142",31.08,"927,664",40.95,21.85
29,우리금융지주,"26,700",상승 850,+3.29%,"5,000","198,272","742,592",46.72,"2,788,163",6.89,9.39
30,LG화학,"273,500","상승 1,500",+0.55%,"5,000","193,070","70,592",31.13,"208,053",-22.89,-2.11
31,SK이노베이션,"115,500",하락 600,-0.52%,"5,000","174,445","151,035",13.71,"214,081",-5.71,-9.65
32,기업은행,"21,850",상승 850,+4.05%,"5,000","174,238","797,426",14.14,"2,109,219",6.52,8.06
33,KT&G,"140,700","상승 4,300",+3.15%,"5,000","171,742","122,062",43.21,"370,593",15.84,12.66
34,고려아연,"853,000","하락 1,000",-0.12%,"5,000","170,799","20,023",12.27,"11,124",71.68,2.28
35,크래프톤,"347,000","하락 6,500",-1.84%,100,"164,446","47,391",43.29,"137,443",12.53,21.10
36,SK,"225,500","상승 6,000",+2.73%,200,"163,494","72,503",24.30,"233,520",18.36,-5.64
37,HD현대일렉트릭,"450,500","상승 8,000",+1.81%,"5,000","162,392","36,047",34.79,"178,958",28.91,39.34
38,삼성중공업,"17,440",하락 100,-0.57%,"1,000","153,472","880,000",31.80,"3,453,112",105.06,1.77
39,카카오뱅크,"30,950",하락 400,-1.28%,"5,000","147,628","476,989",16.70,"1,499,276",31.65,6.95
40,삼성SDI,"181,100","상승 1,700",+0.95%,"5,000","145,940","80,586",28.07,"399,191",123.96,3.13
41,KT,"57,800",하락 300,-0.52%,"5,000","145,669","252,022",49.00,"364,702",23.02,2.85
42,삼성에스디에스,"183,700",하락 300,-0.16%,500,"142,143","77,378",18.52,"341,095",18.76,8.42
43,LG,"82,800",상승 300,+0.36%,"5,000","130,204","157,251",34.84,"267,937",16.39,2.16
44,LIG넥스원,"589,000","상승 19,000",+3.33%,"5,000","129,580","22,000",31.90,"124,059",52.81,19.59
45,LG전자,"77,200","상승 1,900",+2.52%,"5,000","126,336","163,648",29.53,"1,769,412",20.18,1.81
46,미래에셋증권,"22,150",상승 200,+0.91%,"5,000","126,325","570,316",12.28,"2,487,963",16.24,7.94
47,SK텔레콤,"56,500",상승 800,+1.44%,100,"121,356","214,790",39.73,"733,546",9.62,10.83
48,하이브,"272,500","상승 1,500",+0.55%,500,"113,502","41,652",20.15,"168,016",216.96,0.31
49,현대글로비스,"148,800","상승 7,500",+5.31%,500,"111,600","75,000",49.71,"291,805",9.40,13.24
50,삼양식품,"1,462,000","하락 8,000",-0.54%,"5,000","110,133","7,533",20.39,"32,184",36.16,39.37
51,HD현대,"138,300","상승 2,100",+1.54%,"1,000","109,247","78,993",23.36,"231,025",20.81,6.36
52,포스코퓨처엠,"137,600","하락 1,400",-1.01%,500,"106,589","77,463",10.21,"351,165",-49.25,-7.98
53,DB손해보험,"145,400","상승 6,600",+4.76%,500,"102,943","70,800",45.54,"315,822",6.05,18.98
54,삼성전기,"137,500",상승 400,+0.29%,"5,000","102,704","74,694",32.95,"197,188",16.94,8.16
55,한화시스템,"53,500",하락 700,-1.29%,"5,000","101,072","188,919",7.61,"825,815",22.95,19.63
56,대한항공,"26,250","상승 1,400",+5.63%,"5,000","96,658","368,221",16.62,"7,255,368",7.36,13.17
57,두산,"571,000","상승 12,000",+2.15%,"5,000","94,351","16,524",14.62,"119,299",-58.93,-14.57
58,효성중공업,"1,008,000","상승 30,000",+3.07%,"5,000","93,991","9,325",22.65,"65,937",31.01,14.90
59,카카오페이,"69,700","하락 9,900",-12.44%,500,"93,884","134,697",37.00,"3,512,539","-2,248.39",-0.73
60,포스코인터내셔널,"52,400",상승 900,+1.75%,"5,000","92,184","175,923",6.25,"390,355",17.14,8.14
61,한국금융지주,"163,600","상승 5,600",+3.54%,"5,000","91,168","55,726",36.81,"267,011",8.71,11.54
62,유한양행,"111,400",하락 300,-0.27%,"1,000","89,085","79,968",18.00,"231,405",135.69,3.41
